"5","5","Yesterday is a wrinkle on your forehead
Yesterday is a promise that you've broken
Don't close your eyes, don't close your eyes,
This is your life.
And today is all you've got now.
And today is all you've ever have.
Don't close your eyes

This is your life, are you who you want to be?
This is your life, are you who you want to be?
This is your life, is it everything that you have dreamed
That it would be when you was younger,
And you had everything to lose?

Yesterday is a kid in the corner
Yesterday is dead and over.

This is your life, are you who you want to be?
This is your life, are you who you want to be?
"
"6","6","I was certain that i knew You
At the tender age of twelve
You'd so often been described by those
Who said they knew You well
Dark and rugged in Your thirties
With a smile as bright as Your robe

Every teacher, every preacher
With the very best intent
Found new ways to hide the mystery
Replaced by common sense
And to know You was to keep You in my pocket
So easy to hold

I know I can't explain You
I would not even try to
And yet it's clear that You are here beside me
I marvel and I wonder
So near and somehow still so far
What makes You who You are?

It is easy to insist
On what is packaged and precise
And dismiss the clear suspicion
That You're bigger than we'd like
It is tempting to regard You as familiar
In so many ways

I've tried to draw these lines around You
A definition or an absolute
But i could not be satisfied with black or white
There is so much more
There is so much You
"
"7","7",NULL
"8","8","Down the Via Dolorosa in Jerusalem that day
The soldiers tried to clear the narrow street
But the crowd pressed in to see
The Man condemned to die on Calvary

He was bleeding from a beating, there were stripes upon His back
And He wore a crown of thorns upon His head
And He bore with every step
The scorn of those who cried out for His death

Down the Via Dolorosa called the way of suffering
Like a lamb came the Messiah, Christ the King,
But He chose to walk that road out of
His love for you and me.
Down the Via Dolorosa, all the way to Calvary.

Por la Via Dolorosa, triste dia en Jerusalen
Los soldados le abrian paso a Jesus.
Mas la gente se acercaba,
Para ver al que llevaba aquella cruz.

Por la Via Dolorosa, que es la via del dolor
Como oveja vino Cristo, Rey y Senor,
Y fue El quien quiso ir por su amor por ti y por mi.
Por la Via Dolorosa al Calvario y a morir.

The blood that would cleanse the souls of all men
Made its way through the heart of Jerusalem.

Down the Via Dolorosa called the way of suffering
Like a lamb came the Messiah, Christ the King
But He chose to walk that road out of His love for you and me
Down the Via Dolorosa, all the way to Calvary.
"
"9","9","Before the throne of God above, 
I have a strong, a perfect plea, 
A great High Priest whose name is ""Love,"" 
Who ever lives and pleads for me. 
My name is graven on His hands, 
My name is written on His heart; 
I know that while in heav'n He stands 
no tongue can bid me thence depart. 
No tongue can bid me thence depart. 

When Satan tempts me to despair, 
and tells me of the guilt within, 
upward I look and see Him there 
Who made an end to all my sin. 
Because the sinless Savior died, 
my sinful soul is counted free; 
For God, the Just, is satisfied 
to look on him and pardon me. 
to look on him and pardon me. 

Behold him there! the risen Lamb, 
my perfect, spotless Righteousness, 
the great unchangeable I AM, 
the King of glory and of grace! 
One with Himself I cannot die, 
My soul is purchased by His blood; 
My life is hid with Christ on high, 
with Christ, my Savior and my God 
with Christ, my Savior and my God "
"10","10","The night is deafening
When the silence is listening
And I'm down on my knees
And I know that something is missing
Because the back of my mind is holding things I'm relying in, 
But I choose to ignore it because I'm always denying them.

I'm a bit of a manic when it's not as I plan it, 
'Cause I start losing my head
And then I get up in a panic
Remember, when we were kids
And always knew when to quit it
Are we denying a crisis, or are we scared of admitting it?

I don't want to know

I just wanna run to you, 
And break off the chains, and throw them away
I just wanna be so much, 
And shake off the dust that turned me to rust
Sooner than later, I'll need a saviour
I'll need a saviour... 

It won't ever change if you want it to stay the same
I really hate it, but I know it's hard to chose if you're chained
And when it's all you can control, 'cause you've got nothing else to hold
You're getting tighter and tighter, it's getting harder to let it go 

I don't want to know 

I just wanna run to you, 
And break off the chains, 
And throw them away
I just wanna be so much, 
And shake off the dust that turned me to rust
Sooner than later, I'll need a saviour
I'll need a saviour... 

Stand me up and maybe I won't be so small, 
Free my hands and feet and maybe I won't always fall
Save me 

I just wanna run to you, 
And break off the chains, 
And throw them away
I just wanna be so much
And shake off the dust that turned me to rust
I just wanna run to you
And break off the chains, 
And throw them away
I just wanna be so much
And shake off the dust that turned me to rust
Sooner than later, I'll need a saviour

I'll need a saviour...
"
"11","11","I was so helpless
Where did the light go
I had no hope left
Deep down in my soul
I was watchin'
I was waitin'
I was prayin'
I was stayin' down on my knees
That's right where You found me

My Deliverer, You rescued me from all that held me captive
My Deliverer, You set me free
Now I'm alive and I can live
So every moment I will give you praise
My Deliverer
Ooh my Deliverer

There's no pretending
I can't do it myself
I'm so dependent
Lord I need Your help
I'll be watchin'
I'll be waitin'
I'll be prayin'
I'll be stayin' down on my knees
That's right where You'll find me

My Deliverer, You rescued me from all that held me captive
My Deliverer, You set me free
Now I'm alive and I can live
And every moment I will give you praise

La la la la la I need You
You know whatever I'm goin' through
I'll be watchin'
I'll be waitin'
I'll be prayin'
I'll be stayin' down on my knees
That's right where You'll find me

My Deliverer, You rescued me from all that held me captive
My Deliverer, You set me free
Now I can live
My Deliverer, I'm no longer captive
My Deliverer, You gave Your life that I might live
So every moment I will give you praise
Yeah my Deliverer
I'm gonna give You praise
I'm gonna give You praise
My Deliverer"
"12","12","We have heard the thunder
And we have seen the storm
Echoes of your kingdom come and
Rumors of our home
Where one day we will stand before you, Lord
Our altogether beautiful reward

And we will give you glory, bring you honor
King above all kings
You deserve our everything
We will lift our voices with your praises
Jesus you are our king

Though now we walk in darkness
For now we see in part
Right now we're warmed by the burning flames
Of the fire in our heart
You've promised you will lead us to your throne
Where we will worship you and you alone
"
"13","13","I've had just enough of the spotlight when it burns bright
To see how it gets in the blood
And I've tasted my share of the sweet life and the wide ride
And found a little is not quite enough

I know how I can stray
And how fast my heart could change

Empty me of the selfishness inside
Every vain ambition and the poison of my pride
And any foolish thing my heart holds to
Lord, empty to me of me so I can be filled with you

I've seen just enough of the quick buys of the best lies
To know how prodigals can be drawn away

'Cause everything is a lesser thing
Compared to you, compared to you
'Cause everything is a lesser thing
Compared to you, so I surrender all
"
"14","14","In Christ alone my hope is found
He is my light, my strength, my song
This Cornerstone, this solid ground
Firm through the fiercest drought and storm
What heights of love, what depths of peace
When fears are stilled, when strivings cease
My Comforter, my All in All
Here in the love of Christ I stand

In Christ alone, who took on flesh
Fullness of God in helpless babe
This gift of love and righteousness
Scorned by the ones He came to save
'Til on that cross as Jesus died
The wrath of God was satisfied
For every sin on Him was laid
Here in the death of Christ I live

There in the ground His body lay
Light of the world by darkness slain
Then bursting forth in glorious Day
Up from the grave He rose again
And as He stands in victory
Sins curse has lost its grip on me
For I am His and He is mine
Bought with the precious blood of Christ

No guilt of life, no fear in death
This is the power of Christ in me
From lifes first cry to final breath
Jesus commands my destiny
No power of hell, no scheme of man
Can ever pluck me from His hand
til He returns or calls me home
Here in the power of Christ I ll stand
"
